Team Name,LastName,FirstName,IP,ER,Hits,Walks,Strikeouts,Homeruns,Hold,Wins,Loss,Saves,Starter,Relief,Throws,ChB,ChL,ChR,ERA,WHIP,Starts,Games,Completed Games,Ch1B,Ch2B,Ch3B,ChHR,ChW,ChDP,Ch1BL,Ch2BL,Ch3BL,ChHRL,ChWL,ChDPL,Ch1BR,Ch2BR,Ch3BR,ChHRR,ChWR,ChDPR,Wild Pitch,Balk,Fielding,ErrorRating,Bunting
Cinangeles,Worrell,Todd,3.00,2,4,1,4,1,2,0,1,0,0,1,R,26.75,18.30,37.25,6.00,15.00,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Cinangeles,Dreifort,Darren,3.00,0,1,2,2,0,1,1,0,0,0,3,R,24.40,19.00,28.95,0.00,9.00,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Cinangeles,Remlinger,Mike,0.00,0,0,0,0,0,-4,0,0,0,5,3,L,26.90,26.35,27.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,A
Cinangeles,Radinsky,Scott,3.00,0,1,2,3,0,-5,1,0,0,0,1,L,20.80,12.25,23.40,0.00,9.00,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Cinangeles,Burba,Dave,3.30,0,2,0,2,0,-1,1,0,0,6,3,R,29.00,35.30,23.10,0.00,5.45,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,D
Cinangeles,Osuna,Antonio,0.00,0,0,0,0,0,-4,0,0,0,0,2,R,16.20,12.35,20.15,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,C
Cinangeles,Belinda,Stan,2.60,0,2,0,2,0,7,1,0,0,0,2,R,19.75,25.05,16.20,0.00,6.92,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,D
Cinangeles,Sullivan,Scott,3.00,0,2,1,4,0,1,0,0,1,0,3,R,15.60,20.25,12.90,0.00,9.00,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,B
Cinangeles,Shaw,Jeff,6.60,0,1,3,1,0,-3,1,0,0,0,2,R,12.90,14.70,10.30,0.00,5.45,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,D
Cinangeles,Tomko,Brett,23.00,18,27,15,15,4,-4,1,1,0,6,4,R,23.85,21.15,27.55,7.04,16.43,3,3,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,D
Cinangeles,White,Gabe,19.60,10,21,6,12,3,-1,1,0,0,6,3,L,20.30,15.20,21.60,4.59,12.40,3,3,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,B
Cinangeles,Candiotti,Tom,25.30,15,29,13,13,4,2,1,1,0,6,3,R,22.50,24.60,20.65,5.34,14.94,3,3,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,A
Cinangeles,Martinez,Ramon,21.00,12,21,13,19,3,1,1,1,0,6,0,R,29.00,39.65,18.20,5.14,14.57,3,3,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,A
Cinangeles,Park,Chan Ho,28.00,11,24,12,28,5,-4,2,1,0,6,3,R,20.20,27.60,11.75,3.54,11.57,3,3,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,B
Cinangeles,Valdes,Ismael,27.00,6,16,9,19,4,-1,2,0,0,7,0,R,17.20,21.40,10.55,2.00,8.33,3,3,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,B
